name,sku,price,description,categories,catalogNumber
"Palm Bell Switch Single Pole - 2 Module - Frost White","C53400-0027",292,"Palm Bell Switch Single Pole - 2 Module in Frost White","Residential,Switches","C5340 .01"
"Palm Bell Switch Single Pole with indicator - 2 Module - Frost White","C53410-0028",377,"Palm Bell Switch Single Pole with indicator - 2 Module in Frost White","Home Automation,Switches","C5341 .01"
"Switch 16A One-way with ‘Geyser’ Symbol with indicator - 1 Module - Frost White","C54410-0029",362,"Switch 16A One-way with ‘Geyser’ Symbol with indicator - 1 Module in Frost White","Commercial,Electrical","C5441 .01"
"Switch 6A One-way with ‘Fan’ or ‘Light’ or 'Exhaust' Symbol - 1 Module - Frost White","C54310-0030",273,"Switch 6A One-way with ‘Fan’ or ‘Light’ or 'Exhaust' Symbol - 1 Module in Frost White","Industrial,Controls","C5431 .01"
"Switch 6A One-way - 1 Module - Quartz Gray","C51100-0031",196,"Switch 6A One-way - 1 Module in Quartz Gray","Residential,Switches","C5110 .02"
"Switch 6A One-way with indicator - 1 Module - Quartz Gray","C51110-0032",324,"Switch 6A One-way with indicator - 1 Module in Quartz Gray","Hardware,Switches","C5111 .02"
"Switch 6A Two-way  - 1 Module - Quartz Gray","C52100-0033",290,"Switch 6A Two-way  - 1 Module in Quartz Gray","Home Automation,Switches","C5210 .02"
"Switch 6A Two-way with indicator - 1 Module - Quartz Gray","C52110-0034",435,"Switch 6A Two-way with indicator - 1 Module in Quartz Gray","Commercial,Electrical","C5211 .02"
"Switch 16A One-way - 1 Module - Quartz Gray","C51300-0035",342,"Switch 16A One-way - 1 Module in Quartz Gray","Residential,Switches","C5130 .02"
"Switch 16A One-way with indicator - 1 Module - Quartz Gray","C51310-0036",435,"Switch 16A One-way with indicator - 1 Module in Quartz Gray","Electrical,Switches","C5131 .02"
"Switch 16A Two-way - 1 Module - Quartz Gray","C52300-0037",356,"Switch 16A Two-way - 1 Module in Quartz Gray","Electrical,Switches","C5230 .02"
"Switch 16A Two-way with indicator - 1 Module - Quartz Gray","C52310-0038",462,"Switch 16A Two-way with indicator - 1 Module in Quartz Gray","Electrical,Components","C5231 .02"
"Switch 25A One-way - 1 Module - Quartz Gray","C57300-0039",481,"Switch 25A One-way - 1 Module in Quartz Gray","Commercial,Electrical","C5730 .02"
"Switch 25A One-way with indicator - 1 Module - Quartz Gray","C57310-0040",556,"Switch 25A One-way with indicator - 1 Module in Quartz Gray","Industrial,Controls","C5731 .02"
"Switch 6A - Bell - 1 Module - Quartz Gray","C53100-0041",293,"Switch 6A - Bell - 1 Module in Quartz Gray","Commercial,Electrical","C5310 .02"
"Switch 6A - Bell with indicator - 1 Module - Quartz Gray","C53110-0042",411,"Switch 6A - Bell with indicator - 1 Module in Quartz Gray","Building Materials,Electrical","C5311 .02"
"Palm Switch 6A One-way Single Pole - 2 Module - Quartz Gray","C51400-0043",261,"Palm Switch 6A One-way Single Pole - 2 Module in Quartz Gray","Electrical,Switches","C5140 .02"
"Palm Switch 6A One-way Single Pole with indicator - 2 Module - Quartz Gray","C51410-0044",341,"Palm Switch 6A One-way Single Pole with indicator - 2 Module in Quartz Gray","Home Automation,Switches","C5141 .02"
"Palm Switch 6A Two-way Single Pole - 2 Module - Quartz Gray","C52400-0045",303,"Palm Switch 6A Two-way Single Pole - 2 Module in Quartz Gray","Electrical,Switches","C5240 .02"
"Palm Switch 6A Two-way Single Pole with indicator - 2 Module - Quartz Gray","C52410-0046",430,"Palm Switch 6A Two-way Single Pole with indicator - 2 Module in Quartz Gray","Building Materials,Electrical","C5241 .02"
"Palm Switch 16A One-way Single Pole - 2 Module - Quartz Gray","C51600-0047",354,"Palm Switch 16A One-way Single Pole - 2 Module in Quartz Gray","Building Materials,Electrical","C5160 .02"
"Palm Switch 16A One-way Single Pole with indicator - 2 Module - Quartz Gray","C51610-0048",430,"Palm Switch 16A One-way Single Pole with indicator - 2 Module in Quartz Gray","Home Automation,Switches","C5161 .02"
"Palm Switch 16A Two-way Single Pole - 2 Module - Quartz Gray","C52600-0049",386,"Palm Switch 16A Two-way Single Pole - 2 Module in Quartz Gray","Electrical,Switches","C5260 .02"
"Palm Switch 16A Two-way Single Pole with indicator - 2 Module - Quartz Gray","C52610-0050",504,"Palm Switch 16A Two-way Single Pole with indicator - 2 Module in Quartz Gray","Electrical,Components","C5261 .02"
"Palm Switch 6A One-way Double Pole - 2 Module - Quartz Gray","C51800-0051",493,"Palm Switch 6A One-way Double Pole - 2 Module in Quartz Gray","Industrial,Controls","C5180 .02"
"Palm Switch 6A Two-way Double Pole - 2 Module - Quartz Gray","C52800-0052",525,"Palm Switch 6A Two-way Double Pole - 2 Module in Quartz Gray","Industrial,Controls","C5280 .02"
"Palm Switch 6A Two-way Double Pole with indicator - 2 Module - Quartz Gray","C52810-0053",583,"Palm Switch 6A Two-way Double Pole with indicator - 2 Module in Quartz Gray","Electrical,Components","C5281 .02"
"Palm Switch 16A One-way Double Pole with indicator - 2 Module - Quartz Gray","C51910-0054",687,"Palm Switch 16A One-way Double Pole with indicator - 2 Module in Quartz Gray","Electrical,Components","C5191 .02"
"Palm Switch 16A Two-way Double Pole with indicator - 2 Module - Quartz Gray","C52910-0055",818,"Palm Switch 16A Two-way Double Pole with indicator - 2 Module in Quartz Gray","Residential,Switches","C5291 .02"
"Palm Switch 25A One-way Double Pole with indicator - 2 Module - Quartz Gray","C51710-0056",821,"Palm Switch 25A One-way Double Pole with indicator - 2 Module in Quartz Gray","Building Materials,Electrical","C5171 .02"
"Palm Bell Switch Single Pole - 2 Module - Quartz Gray","C53400-0057",364,"Palm Bell Switch Single Pole - 2 Module in Quartz Gray","Building Materials,Electrical","C5340 .02"
"Palm Bell Switch Single Pole with indicator - 2 Module - Quartz Gray","C53410-0058",467,"Palm Bell Switch Single Pole with indicator - 2 Module in Quartz Gray","Residential,Switches","C5341 .02"
"Switch 16A One-way with ‘Geyser’ Symbol with indicator - 1 Module - Quartz Gray","C54410-0059",449,"Switch 16A One-way with ‘Geyser’ Symbol with indicator - 1 Module in Quartz Gray","Electrical,Switches","C5441 .02"
"Switch 6A One-way with ‘Fan’ or ‘Light’ or 'Exhaust' Symbol - 1 Module - Quartz Gray","C54310-0060",341,"Switch 6A One-way with ‘Fan’ or ‘Light’ or 'Exhaust' Symbol - 1 Module in Quartz Gray","Building Materials,Electrical","C5431 .02"
"Switch 6A One-way - 1 Module - Charcoal Black","C51101-0061",214,"Switch 6A One-way - 1 Module in Charcoal Black","Building Materials,Electrical","C5110 .17"
"Switch 6A One-way with indicator - 1 Module - Charcoal Black","C51111-0062",362,"Switch 6A One-way with indicator - 1 Module in Charcoal Black","Industrial,Controls","C5111 .17"
"Switch 6A Two-way  - 1 Module - Charcoal Black","C52101-0063",326,"Switch 6A Two-way  - 1 Module in Charcoal Black","Electrical,Switches","C5210 .17"
"Switch 6A Two-way with indicator - 1 Module - Charcoal Black","C52111-0064",499,"Switch 6A Two-way with indicator - 1 Module in Charcoal Black","Electrical,Switches","C5211 .17"
"Switch 16A One-way - 1 Module - Charcoal Black","C51301-0065",387,"Switch 16A One-way - 1 Module in Charcoal Black","Home Automation,Switches","C5130 .17"
"Switch 16A One-way with indicator - 1 Module - Charcoal Black","C51311-0066",482,"Switch 16A One-way with indicator - 1 Module in Charcoal Black","Residential,Switches","C5131 .17"
"Switch 16A Two-way - 1 Module - Charcoal Black","C52301-0067",402,"Switch 16A Two-way - 1 Module in Charcoal Black","Electrical,Components","C5230 .17"
"Switch 16A Two-way with indicator - 1 Module - Charcoal Black","C52311-0068",518,"Switch 16A Two-way with indicator - 1 Module in Charcoal Black","Building Materials,Electrical","C5231 .17"
"Switch 25A One-way - 1 Module - Charcoal Black","C57301-0069",539,"Switch 25A One-way - 1 Module in Charcoal Black","Electrical,Components","C5730 .17"
"Switch 25A One-way with indicator - 1 Module - Charcoal Black","C57311-0070",636,"Switch 25A One-way with indicator - 1 Module in Charcoal Black","Building Materials,Electrical","C5731 .17"
"Switch 6A - Bell - 1 Module - Charcoal Black","C53101-0071",335,"Switch 6A - Bell - 1 Module in Charcoal Black","Home Automation,Switches","C5310 .17"
"Switch 6A - Bell with indicator - 1 Module - Charcoal Black","C53111-0072",463,"Switch 6A - Bell with indicator - 1 Module in Charcoal Black","Industrial,Controls","C5311 .17"
"Palm Switch 6A One-way Single Pole - 2 Module - Charcoal Black","C51401-0073",287,"Palm Switch 6A One-way Single Pole - 2 Module in Charcoal Black","Commercial,Electrical","C5140 .17"
"Palm Switch 6A One-way Single Pole with indicator - 2 Module - Charcoal Black","C51411-0074",373,"Palm Switch 6A One-way Single Pole with indicator - 2 Module in Charcoal Black","Home Automation,Switches","C5141 .17"
"Palm Switch 6A Two-way Single Pole - 2 Module - Charcoal Black","C52401-0075",332,"Palm Switch 6A Two-way Single Pole - 2 Module in Charcoal Black","Commercial,Electrical","C5240 .17"
"Palm Switch 6A Two-way Single Pole with indicator - 2 Module - Charcoal Black","C52411-0076",471,"Palm Switch 6A Two-way Single Pole with indicator - 2 Module in Charcoal Black","Electrical,Components","C5241 .17"
"Palm Switch 16A One-way Single Pole - 2 Module - Charcoal Black","C51601-0077",388,"Palm Switch 16A One-way Single Pole - 2 Module in Charcoal Black","Electrical,Switches","C5160 .17"
"Palm Switch 16A One-way Single Pole with indicator - 2 Module - Charcoal Black","C51611-0078",471,"Palm Switch 16A One-way Single Pole with indicator - 2 Module in Charcoal Black","Electrical,Components","C5161 .17"
"Palm Switch 16A Two-way Single Pole - 2 Module - Charcoal Black","C52601-0079",422,"Palm Switch 16A Two-way Single Pole - 2 Module in Charcoal Black","Building Materials,Electrical","C5260 .17"
"Palm Switch 16A Two-way Single Pole with indicator - 2 Module - Charcoal Black","C52611-0080",549,"Palm Switch 16A Two-way Single Pole with indicator - 2 Module in Charcoal Black","Building Materials,Electrical","C5261 .17"
"Palm Switch 6A One-way Double Pole - 2 Module - Charcoal Black","C51801-0081",540,"Palm Switch 6A One-way Double Pole - 2 Module in Charcoal Black","Commercial,Electrical","C5180 .17"
"Palm Switch 6A Two-way Double Pole - 2 Module - Charcoal Black","C52801-0082",576,"Palm Switch 6A Two-way Double Pole - 2 Module in Charcoal Black","Home Automation,Switches","C5280 .17"
"Palm Switch 6A Two-way Double Pole with indicator - 2 Module - Charcoal Black","C52811-0083",637,"Palm Switch 6A Two-way Double Pole with indicator - 2 Module in Charcoal Black","Building Materials,Electrical","C5281 .17"
"Palm Switch 16A One-way Double Pole with indicator - 2 Module - Charcoal Black","C51911-0084",752,"Palm Switch 16A One-way Double Pole with indicator - 2 Module in Charcoal Black","Electrical,Components","C5191 .17"
"Palm Switch 16A Two-way Double Pole with indicator - 2 Module - Charcoal Black","C52911-0085",894,"Palm Switch 16A Two-way Double Pole with indicator - 2 Module in Charcoal Black","Commercial,Electrical","C5291 .17"
"Palm Switch 25A One-way Double Pole with indicator - 2 Module - Charcoal Black","C51711-0086",897,"Palm Switch 25A One-way Double Pole with indicator - 2 Module in Charcoal Black","Industrial,Controls","C5171 .17"
"Palm Bell Switch Single Pole - 2 Module - Charcoal Black","C53401-0087",397,"Palm Bell Switch Single Pole - 2 Module in Charcoal Black","Electrical,Components","C5340 .17"
"Palm Bell Switch Single Pole with indicator - 2 Module - Charcoal Black","C53411-0088",513,"Palm Bell Switch Single Pole with indicator - 2 Module in Charcoal Black","Building Materials,Electrical","C5341 .17"
"Switch 16A One-way with ‘Geyser’ Symbol with indicator - 1 Module - Charcoal Black","C54411-0089",492,"Switch 16A One-way with ‘Geyser’ Symbol with indicator - 1 Module in Charcoal Black","Commercial,Electrical","C5441 .17"
"Switch 6A One-way with ‘Fan’ or ‘Light’ or 'Exhaust' Symbol - 1 Module - Charcoal Black","C54311-0090",373,"Switch 6A One-way with ‘Fan’ or ‘Light’ or 'Exhaust' Symbol - 1 Module in Charcoal Black","Electrical,Components","C5431 .17"
"Switch 6A One-way - 1 Module - Scarlet Red","C51102-0091",257,"Switch 6A One-way - 1 Module in Scarlet Red","Building Materials,Electrical","C5110 .20"
"Switch 6A One-way with indicator - 1 Module - Scarlet Red","C51112-0092",362,"Switch 6A One-way with indicator - 1 Module in Scarlet Red","Electrical,Switches","C5111 .20"
"Switch 16A One-way with indicator - 1 Module - Scarlet Red","C51312-0093",489,"Switch 16A One-way with indicator - 1 Module in Scarlet Red","Electrical,Components","C5131 .20"
"Switch 25A One-way with indicator - 1 Module - Scarlet Red","C57312-0094",636,"Switch 25A One-way with indicator - 1 Module in Scarlet Red","Electrical,Switches","C5731 .20"
"Palm Switch 25A One-way Double Pole with indicator - 2 Module - Scarlet Red","C51712-0095",897,"Palm Switch 25A One-way Double Pole with indicator - 2 Module in Scarlet Red","Hardware,Switches","C5171 .20"
"Twin Switch 6A - 2 Gang - Both switches 1 way - 1 Module - Frost White","C21100-0096",498,"Twin Switch 6A - 2 Gang - Both switches 1 way - 1 Module in Frost White","Residential,Switches","C2110 .01"
"Twin Switch 6A - 2 Gang - Both Switches 1 way with indicator - 1 Module - Frost White","C21110-0097",730,"Twin Switch 6A - 2 Gang - Both Switches 1 way with indicator - 1 Module in Frost White","Building Materials,Electrical","C2111 .01"
"Twin Switch 6A - 1 Gang - 2 way + Dummy - 1 Module - Frost White","C20100-0098",553,"Twin Switch 6A - 1 Gang - 2 way + Dummy - 1 Module in Frost White","Home Automation,Switches","C2010 .01"
"Twin Switch 6A - 1 Gang - 2 way with indicator + Dummy - 1 Module - Frost White","C20110-0099",771,"Twin Switch 6A - 1 Gang - 2 way with indicator + Dummy - 1 Module in Frost White","Residential,Switches","C2011 .01"
"Twin Switch 16A - 2 Gang - Both switches 1 way - 1 Module - Frost White","C21300-0100",797,"Twin Switch 16A - 2 Gang - Both switches 1 way - 1 Module in Frost White","Hardware,Switches","C2130 .01"
"Twin Switch 16A - 2 Gang - Both switches 1 way with indicator - 1 Module - Frost White","C21310-0101",1002,"Twin Switch 16A - 2 Gang - Both switches 1 way with indicator - 1 Module in Frost White","Hardware,Switches","C2131 .01"
"Twin Switch 16A - 1 Gang - 2 way + Dummy - 1 Module - Frost White","C20300-0102",755,"Twin Switch 16A - 1 Gang - 2 way + Dummy - 1 Module in Frost White","Residential,Switches","C2030 .01"
"Twin Switch 16A - 1 Gang - 2 way with indicator + Dummy - 1 Module - Frost White","C20310-0103",968,"Twin Switch 16A - 1 Gang - 2 way with indicator + Dummy - 1 Module in Frost White","Electrical,Switches","C2031 .01"
"Twin Switch 6A - 2 Gang - Both Switches Bell - 1 Module - Frost White","C21400-0104",756,"Twin Switch 6A - 2 Gang - Both Switches Bell - 1 Module in Frost White","Hardware,Switches","C2140 .01"
"Twin Switch 6A - 2 Gang - Both Switches Bell with Indicator - 1 Module - Frost White","C21410-0105",998,"Twin Switch 6A - 2 Gang - Both Switches Bell with Indicator - 1 Module in Frost White","Residential,Switches","C2141 .01"
"Twin Switch 6A - 1 Gang - 1 Bell + 1 Dummy - 1 Module - Frost White","C20400-0106",609,"Twin Switch 6A - 1 Gang - 1 Bell + 1 Dummy - 1 Module in Frost White","Electrical,Switches","C2040 .01"
"Twin Switch 6A - 1 Gang - 1 Bell with Indicator + 1 Dummy - 1 Module - Frost White","C20410-0107",797,"Twin Switch 6A - 1 Gang - 1 Bell with Indicator + 1 Dummy - 1 Module in Frost White","Industrial,Controls","C2041 .01"
"Twin Switch 6A - 2 Gang - Both switches 1 way - 1 Module - Quartz Gray","C21100-0108",614,"Twin Switch 6A - 2 Gang - Both switches 1 way - 1 Module in Quartz Gray","Industrial,Controls","C2110 .02"
"Twin Switch 6A - 2 Gang - Both Switches 1 way with indicator - 1 Module - Quartz Gray","C21110-0109",954,"Twin Switch 6A - 2 Gang - Both Switches 1 way with indicator - 1 Module in Quartz Gray","Electrical,Components","C2111 .02"
"Twin Switch 6A - 1 Gang - 2 way + Dummy - 1 Module - Quartz Gray","C20100-0110",711,"Twin Switch 6A - 1 Gang - 2 way + Dummy - 1 Module in Quartz Gray","Electrical,Components","C2010 .02"
"Twin Switch 6A - 1 Gang - 2 way with indicator + Dummy - 1 Module - Quartz Gray","C20110-0111",993,"Twin Switch 6A - 1 Gang - 2 way with indicator + Dummy - 1 Module in Quartz Gray","Building Materials,Electrical","C2011 .02"
"Twin Switch 16A - 2 Gang - Both switches 1 way - 1 Module - Quartz Gray","C21300-0112",1029,"Twin Switch 16A - 2 Gang - Both switches 1 way - 1 Module in Quartz Gray","Building Materials,Electrical","C2130 .02"
"Twin Switch 16A - 2 Gang - Both switches 1 way with indicator - 1 Module - Quartz Gray","C21310-0113",1284,"Twin Switch 16A - 2 Gang - Both switches 1 way with indicator - 1 Module in Quartz Gray","Building Materials,Electrical","C2131 .02"
"Twin Switch 16A - 1 Gang - 2 way + Dummy - 1 Module - Quartz Gray","C20300-0114",972,"Twin Switch 16A - 1 Gang - 2 way + Dummy - 1 Module in Quartz Gray","Commercial,Electrical","C2030 .02"
"Twin Switch 16A - 1 Gang - 2 way with indicator + Dummy - 1 Module - Quartz Gray","C20310-0115",1248,"Twin Switch 16A - 1 Gang - 2 way with indicator + Dummy - 1 Module in Quartz Gray","Industrial,Controls","C2031 .02"
"Twin Switch 6A - 2 Gang - Both Switches Bell - 1 Module - Quartz Gray","C21400-0116",967,"Twin Switch 6A - 2 Gang - Both Switches Bell - 1 Module in Quartz Gray","Home Automation,Switches","C2140 .02"
"Twin Switch 6A - 2 Gang - Both Switches Bell with Indicator - 1 Module - Quartz Gray","C21410-0117",1278,"Twin Switch 6A - 2 Gang - Both Switches Bell with Indicator - 1 Module in Quartz Gray","Home Automation,Switches","C2141 .02"
"Twin Switch 6A - 1 Gang - 1 Bell + 1 Dummy - 1 Module - Quartz Gray","C20400-0118",779,"Twin Switch 6A - 1 Gang - 1 Bell + 1 Dummy - 1 Module in Quartz Gray","Electrical,Components","C2040 .02"
"Twin Switch 6A - 1 Gang - 1 Bell with Indicator + 1 Dummy - 1 Module - Quartz Gray","C20410-0119",1020,"Twin Switch 6A - 1 Gang - 1 Bell with Indicator + 1 Dummy - 1 Module in Quartz Gray","Electrical,Switches","C2041 .02"
"Twin Switch 6A - 2 Gang - Both switches 1 way - 1 Module - Charcoal Black","C21101-0120",667,"Twin Switch 6A - 2 Gang - Both switches 1 way - 1 Module in Charcoal Black","Hardware,Switches","C2110 .17"
"Twin Switch 6A - 2 Gang - Both Switches 1 way with indicator - 1 Module - Charcoal Black","C21111-0121",1032,"Twin Switch 6A - 2 Gang - Both Switches 1 way with indicator - 1 Module in Charcoal Black","Electrical,Components","C2111 .17"
"Twin Switch 6A - 1 Gang - 2 way + Dummy - 1 Module - Charcoal Black","C20101-0122",768,"Twin Switch 6A - 1 Gang - 2 way + Dummy - 1 Module in Charcoal Black","Building Materials,Electrical","C2010 .17"
"Twin Switch 6A - 1 Gang - 2 way with indicator + Dummy - 1 Module - Charcoal Black","C20111-0123",1078,"Twin Switch 6A - 1 Gang - 2 way with indicator + Dummy - 1 Module in Charcoal Black","Building Materials,Electrical","C2011 .17"
"Twin Switch 16A - 2 Gang - Both switches 1 way - 1 Module - Charcoal Black","C21301-0124",1109,"Twin Switch 16A - 2 Gang - Both switches 1 way - 1 Module in Charcoal Black","Industrial,Controls","C2130 .17"
"Twin Switch 16A - 2 Gang - Both switches 1 way with indicator - 1 Module - Charcoal Black","C21311-0125",1391,"Twin Switch 16A - 2 Gang - Both switches 1 way with indicator - 1 Module in Charcoal Black","Residential,Switches","C2131 .17"
"Twin Switch 16A - 1 Gang - 2 way + Dummy - 1 Module - Charcoal Black","C20301-0126",1052,"Twin Switch 16A - 1 Gang - 2 way + Dummy - 1 Module in Charcoal Black","Industrial,Controls","C2030 .17"
"Twin Switch 16A - 1 Gang - 2 way with indicator + Dummy - 1 Module - Charcoal Black","C20311-0127",1329,"Twin Switch 16A - 1 Gang - 2 way with indicator + Dummy - 1 Module in Charcoal Black","Industrial,Controls","C2031 .17"
"Twin Switch 6A - 2 Gang - Both Switches Bell - 1 Module - Charcoal Black","C21401-0128",1043,"Twin Switch 6A - 2 Gang - Both Switches Bell - 1 Module in Charcoal Black","Industrial,Controls","C2140 .17"
"Twin Switch 6A - 2 Gang - Both Switches Bell with Indicator - 1 Module - Charcoal Black","C21411-0129",1378,"Twin Switch 6A - 2 Gang - Both Switches Bell with Indicator - 1 Module in Charcoal Black","Commercial,Electrical","C2141 .17"
"Twin Switch 6A - 1 Gang - 1 Bell + 1 Dummy - 1 Module - Charcoal Black","C20401-0130",840,"Twin Switch 6A - 1 Gang - 1 Bell + 1 Dummy - 1 Module in Charcoal Black","Building Materials,Electrical","C2040 .17"
"Twin Switch 6A - 1 Gang - 1 Bell with Indicator + 1 Dummy - 1 Module - Charcoal Black","C20411-0131",1099,"Twin Switch 6A - 1 Gang - 1 Bell with Indicator + 1 Dummy - 1 Module in Charcoal Black","Electrical,Components","C2041 .17"
"Socket 6A 3-Pin-only Shuttered - 2 Module - Frost White","C52130-0132",307,"Socket 6A 3-Pin-only Shuttered - 2 Module in Frost White","Hardware,Switches","C5213 .01"
"Socket 16A and 6A 3-Pin Shuttered - 2 Module - Frost White","C53320-0133",430,"Socket 16A and 6A 3-Pin Shuttered - 2 Module in Frost White","Building Materials,Electrical","C5332 .01"
"Socket 16A and 6A 3-Pin Shuttered - 3 Module - Frost White","C55520-0134",493,"Socket 16A and 6A 3-Pin Shuttered - 3 Module in Frost White","Residential,Switches","C5552 .01"
"Socket 16A 3-Pin-only Shuttered - 2 Module - Frost White","C53310-0135",402,"Socket 16A 3-Pin-only Shuttered - 2 Module in Frost White","Home Automation,Switches","C5331 .01"
"Socket 6A 3+2 Pin [Round & Flat] Shuttered - 2 Module - Frost White","C52120-0136",347,"Socket 6A 3+2 Pin [Round & Flat] Shuttered - 2 Module in Frost White","Building Materials,Electrical","C5212 .01"
"Socket 6A 2 Pin [Round & Flat] - 1 Module - Frost White","C50100-0137",235,"Socket 6A 2 Pin [Round & Flat] - 1 Module in Frost White","Electrical,Components","C5010 .01"
"Socket 13A International Multi socket Shuttered - 2 Module - Frost White","C55320-0138",430,"Socket 13A International Multi socket Shuttered - 2 Module in Frost White","Residential,Switches","C5532 .01"
"Socket 13A 3-Pin Flat-only Socket Shuttered - 2 Module - Frost White","C55310-0139",406,"Socket 13A 3-Pin Flat-only Socket Shuttered - 2 Module in Frost White","Industrial,Controls","C5531 .01"
"Socket 25A and 6A 3-Pin Shuttered - 2 Module - Frost White","C57320-0140",490,"Socket 25A and 6A 3-Pin Shuttered - 2 Module in Frost White","Electrical,Switches","C5732 .01"
"Socket 25A and 6A 3-Pin Shuttered - 3 Module - Frost White","C57520-0141",577,"Socket 25A and 6A 3-Pin Shuttered - 3 Module in Frost White","Electrical,Components","C5752 .01"
"Socket 25A 3-Pin-only Shuttered - 2 Module - Frost White","C57330-0142",462,"Socket 25A 3-Pin-only Shuttered - 2 Module in Frost White","Building Materials,Electrical","C5733 .01"
"Socket 6A 3-Pin-only Shuttered - 2 Module - Quartz Gray","C52130-0143",379,"Socket 6A 3-Pin-only Shuttered - 2 Module in Quartz Gray","Electrical,Switches","C5213 .02"
"Socket 16A and 6A 3-Pin Shuttered - 2 Module - Quartz Gray","C53320-0144",524,"Socket 16A and 6A 3-Pin Shuttered - 2 Module in Quartz Gray","Electrical,Components","C5332 .02"
